"table_schema_name","table_name","column_name","constraint_name","primary_table_schema_name","primary_table_name","primary_table_column","join_condition","complex_fk","fk_part"
dbo,Aao_Available_Activity_Outcome_tb,kna_id_activity,FK_Available_Activity_Outcome_Knl_Plan_Activity,dbo,Kna_Knl_Plan_Activity_tb,kna_id,dbo.Aao_Available_Activity_Outcome_tb.kna_id_activity = dbo.Kna_Knl_Plan_Activity_tb.kna_id,N,1
dbo,Aao_Available_Activity_Outcome_tb,out_id_outcome,FK_Available_Activity_Outcome_Outcome,dbo,Out_Outcome_tb,out_id,dbo.Aao_Available_Activity_Outcome_tb.out_id_outcome = dbo.Out_Outcome_tb.out_id,N,1
dbo,Aao_Available_Activity_Outcome_tb,uac_id_unplanned_activity,FK_Unplanned_Activitity_Available_Activity_Outcome,dbo,Uac_Unplanned_Activity_tb,uac_id,dbo.Aao_Available_Activity_Outcome_tb.uac_id_unplanned_activity = dbo.Uac_Unplanned_Activity_tb.uac_id,N,1
dbo,Aar_Applicant_Assessment_Report_tb,lng_id_assessed,FK_Language_Applicant_Assessment_Report_assessed,dbo,Lng_Language_tb,lng_id,dbo.Aar_Applicant_Assessment_Report_tb.lng_id_assessed = dbo.Lng_Language_tb.lng_id,N,1
dbo,Aar_Applicant_Assessment_Report_tb,lng_id_native,FK_Language_Applicant_Assessment_Report_native,dbo,Lng_Language_tb,lng_id,dbo.Aar_Applicant_Assessment_Report_tb.lng_id_native = dbo.Lng_Language_tb.lng_id,N,1
dbo,Aar_Applicant_Assessment_Report_tb,lnl_id_level,FK_Language_Level_Applicant_Assessment_Report,dbo,Lnl_Language_Level_tb,lnl_id,dbo.Aar_Applicant_Assessment_Report_tb.lnl_id_level = dbo.Lnl_Language_Level_tb.lnl_id,N,1
dbo,Aar_Applicant_Assessment_Report_tb,per_id_applicant,FK_Person_Applicant_Assessment_Report,dbo,Per_Person_tb,per_id,dbo.Aar_Applicant_Assessment_Report_tb.per_id_applicant = dbo.Per_Person_tb.per_id,N,1
dbo,Aar_Applicant_Assessment_Report_tb,per_id_creator,FK_Person_Applicant_Assessment_Report_creator,dbo,Per_Person_tb,per_id,dbo.Aar_Applicant_Assessment_Report_tb.per_id_creator = dbo.Per_Person_tb.per_id,N,1
dbo,Aar_Applicant_Assessment_Report_tb,per_id_deletor,FK_Person_Applicant_Assessment_Report_deletor,dbo,Per_Person_tb,per_id,dbo.Aar_Applicant_Assessment_Report_tb.per_id_deletor = dbo.Per_Person_tb.per_id,N,1
dbo,Agi_Agenda_Item_tb,out_id_event,FK_Event_Agenda,dbo,Evt_Event_tb,out_id,dbo.Agi_Agenda_Item_tb.out_id_event = dbo.Evt_Event_tb.out_id,N,1
