"schema_name","table_name","created","last_modified","num_rows","comments"
DATA_CLOSING_ALL,ACT_ACTIVITIES,2020-11-19 10:35:18.843,2020-11-19 10:35:18.843,10928,"Activities resume table
Based on this script
https://raw.githubusercontent.com/xtesoft/knlsystemclosing/master/sql/ACT_ACTIVITIES_VW.sql"
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,2020-11-19 10:42:05.310,2020-11-19 10:42:05.310,30827,"Administrative Budget resume table based on 
https://raw.githubusercontent.com/xtesoft/knlsystemclosing/master/sql/ADB_ADMINISTRATIVE_BUDGET_VW.sql"
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,2020-11-19 10:55:45.323,2020-11-19 10:55:45.323,54320,"BUDe Information Table Based on
https://raw.githubusercontent.com/xtesoft/knlsystemclosing/master/sql/BUD_BUDE_INFORMATION_VW.sql"
DATA_CLOSING_ALL,Data_Activities,2020-11-04 12:48:10.500,2020-11-04 12:48:10.500,12099,Data of Activities resume
DATA_CLOSING_ALL,Data_Obligations,2020-11-04 13:59:16.203,2020-11-04 13:59:16.203,60272,Obligations
DATA_CLOSING_ALL,Data_Outputs,2020-11-04 11:28:49.707,2021-10-28 10:39:21.583,21170,Output Table resume
DATA_CLOSING_ALL,DATA_PERSONS,2020-11-19 11:14:15.240,2020-11-19 11:14:15.240,466115,"Person resume Table based on
https://raw.githubusercontent.com/xtesoft/knlsystemclosing/master/sql/Data_Persons_tb.sql"
DATA_CLOSING_ALL,Data_Plans,2020-11-04 15:04:29.420,2020-11-04 15:04:29.420,612,Plans Resume
DATA_CLOSING_ALL,Data_Registrations,2020-11-04 16:52:26.330,2021-01-04 14:45:59.880,345366,Registrations resume
DATA_CLOSING_ALL,ODT_OUTPUT_DETAIL,2020-11-19 11:44:05.720,2020-11-19 11:44:05.720,54128,Output Detail Resume
dbo,Aaa_Available_Administrative_Account_tb,2016-11-15 11:59:03.097,2016-11-15 11:59:03.097,50,KNLSystem Available Administrative Accounts
dbo,Aao_Available_Activity_Outcome_tb,2010-03-14 21:16:21.710,2012-09-16 21:37:25.103,21205,KNLSystem Available Activity for Course/Knowledge Object
dbo,Aar_Applicant_Assessment_Report_tb,2010-03-02 16:35:11.670,2012-09-16 21:37:30.053,241,KNLSystem Applicant Assessment Report for Languages courses
dbo,Adc_Administrative_Account_tb,2010-01-05 13:53:24.137,2014-04-08 11:24:44.600,2671,KNLSystem Administrative Accounts
dbo,Agi_Agenda_Item_tb,2010-01-05 13:53:24.147,2012-09-16 21:37:33.880,96,KNLSystem Course Agenda Items
dbo,App_Activity_Person_Participant_tb,2010-01-05 13:53:24.167,2012-09-16 21:37:38.440,13255,KNLSystem Activity/Person Participant
dbo,Apt_Assign_Private_Teacher_tb,2010-03-26 13:17:30.680,2012-09-16 21:37:40.917,845,KNLSystem Private Language Teacher assignation for registration
dbo,Ast_Assign_Semiprivate_Teacher_tb,2010-01-05 13:53:24.240,2012-09-16 21:37:41.210,61,KNLSystem SemiPrivate Language Teacher assignation for registration
dbo,Atc_Attachment_tb,2010-01-05 13:53:24.260,2017-04-03 21:26:32.967,8795,KNLSystem Output Attachments
dbo,Bgi_Budget_Item_tb,2010-01-05 13:53:24.290,2012-09-16 21:37:44.803,0,No Data Found/Never Used
dbo,Bia_Budget_Item_Administrative,2010-03-14 21:20:44.773,2012-09-16 21:37:45.880,8004,KNLSystem Budget Administrative Item
dbo,Bie_Budget_Item_Executed,2010-03-14 21:21:46.250,2015-11-06 10:24:28.967,71310,KNLSystem Budget Item Executed
dbo,Bio_Budget_Item_Obligated,2010-03-14 21:22:21.747,2015-11-06 10:35:51.637,60327,KNLSystem Budget Item Obligated
dbo,Bip_Budget_Item_Plan_Activity_tb,2010-03-30 10:39:41.287,2012-09-16 21:38:17.313,11108,KNLSystem Budget Item / Plan /Activity
dbo,Boa_Budget_Org_Unit_Account_tb,2010-01-05 13:53:24.373,2012-09-16 21:38:17.603,0,KNLSystem Budget Organizational Unit Account
dbo,Boo_Budget_Item_Operational,2010-03-14 21:22:48.023,2012-09-16 21:38:18.330,41223,KNLSystem Budget Item Operational
dbo,Bou_Budget_Org_Unit_tb,2010-01-05 13:53:24.410,2016-02-09 17:16:14.583,36597,KNLSystem Budget Organizational Unit
dbo,bps_new_units,2016-12-09 14:20:40.113,2016-12-09 14:57:15.693,88,KNLSystem New Units
dbo,Bso_Bud_E_Sync_Optima_tb,2018-01-17 12:19:04.413,2018-01-17 12:19:04.413,6333,KNLSystem BudE Syncronization Table with Optima (Process Table)
dbo,Bud_Bud_E_tb,2011-06-30 18:30:37.303,2015-10-07 11:56:14.120,54320,KNLSystem BudE Budget Optima Table
dbo,Bud_bude_temp_tb,2011-06-29 16:54:31.433,2011-06-29 16:54:31.437,7521,KNLSystem BudE temp amounts Table
dbo,bun_Biztalk_Units_tb,2016-05-17 02:44:14.557,2016-05-17 02:44:14.557,887,KNLSystem Biztalk Units
dbo,bun_Biztalk_Units_tb_jp,2017-08-30 11:39:35.723,2017-09-06 13:25:59.933,0,No Data Found / Never Used
