"schema_name","table_name","column_name","data_type","data_type_ext","nullable","default_value","primary_key","foreign_key","unique_key","check_contraint","computed_column_definition","comments"
DATA_CLOSING_ALL,ACT_ACTIVITIES,activity_status,varchar,varchar(16),Y,"","","","","",,Activity status
DATA_CLOSING_ALL,ACT_ACTIVITIES,activityAmount,decimal,"decimal(17, 2)",Y,"","","","","",,Activity Amount
DATA_CLOSING_ALL,ACT_ACTIVITIES,activityBK,varchar,varchar(20),N,"","","","","",,OPS Activity code
DATA_CLOSING_ALL,ACT_ACTIVITIES,activityID,int,int,N,"","","","","",,KNA ID
DATA_CLOSING_ALL,ACT_ACTIVITIES,activityName,varchar,varchar(2000),N,"","","","","",,Activity Name
DATA_CLOSING_ALL,ACT_ACTIVITIES,activityOutputs,varchar,varchar(8000),Y,"","","","","",,Activity Outputs
DATA_CLOSING_ALL,ACT_ACTIVITIES,activityParticipants,int,int,Y,"","","","","",,Activity Participants
DATA_CLOSING_ALL,ACT_ACTIVITIES,budgetItemsExecutedAmount,decimal,"decimal(15, 2)",Y,"","","","","",,Budget Items Executed Amount
DATA_CLOSING_ALL,ACT_ACTIVITIES,budgetItemsObligatedAmount,decimal,"decimal(15, 2)",Y,"","","","","",,Budget Items Obligated Amount
DATA_CLOSING_ALL,ACT_ACTIVITIES,componentType,varchar,varchar(800),Y,"","","","","",,Component Type
DATA_CLOSING_ALL,ACT_ACTIVITIES,deliverableName,varchar,varchar(8000),N,"","","","","",,Deliverable Name
DATA_CLOSING_ALL,ACT_ACTIVITIES,departmentAllocatedFund,decimal,"decimal(38, 2)",N,"","","","","",,Department Allocated Fund
DATA_CLOSING_ALL,ACT_ACTIVITIES,depId,int,int,Y,"","","","","",,Department ID
DATA_CLOSING_ALL,ACT_ACTIVITIES,depName,varchar,varchar(3),Y,"","","","","",,Department Name
DATA_CLOSING_ALL,ACT_ACTIVITIES,disbursedAmount,decimal,"decimal(15, 2)",Y,"","","","","",,Disbursed Amount
DATA_CLOSING_ALL,ACT_ACTIVITIES,knd_id,int,int,N,"","","","","",,KND ID
DATA_CLOSING_ALL,ACT_ACTIVITIES,kndType,varchar,varchar(10),Y,"","","","","",,KND Type
DATA_CLOSING_ALL,ACT_ACTIVITIES,knlAmount,decimal,"decimal(15, 2)",N,"","","","","",,KNL Amount
DATA_CLOSING_ALL,ACT_ACTIVITIES,knlApprovedAmount,decimal,"decimal(15, 2)",N,"","","","","",,KNL Approved Amount
DATA_CLOSING_ALL,ACT_ACTIVITIES,knlOfficer,varchar,varchar(500),Y,"","","","","",,KNL Officer
DATA_CLOSING_ALL,ACT_ACTIVITIES,knlStatus,varchar,varchar(20),N,"","","","","",,KNL Status
DATA_CLOSING_ALL,ACT_ACTIVITIES,knp_id,int,int,N,"","","","","",,KNP ID
DATA_CLOSING_ALL,ACT_ACTIVITIES,kpd_id,int,int,N,"","","","","",,KPD ID
DATA_CLOSING_ALL,ACT_ACTIVITIES,latestTotalCostAmount,decimal,"decimal(15, 2)",Y,"","","","","",,Latest Total Cost Amount
DATA_CLOSING_ALL,ACT_ACTIVITIES,otherAmount,decimal,"decimal(15, 2)",N,"","","","","",,Other Amount
DATA_CLOSING_ALL,ACT_ACTIVITIES,otherEntity,varchar,varchar(800),Y,"","","","","",,Other Entity
DATA_CLOSING_ALL,ACT_ACTIVITIES,outputCount,int,int,Y,"","","","","",,Output count
DATA_CLOSING_ALL,ACT_ACTIVITIES,PROGRAMMED_ASSOCIATED,decimal,"decimal(15, 5)",Y,"","","","","",,Programmed Associated
DATA_CLOSING_ALL,ACT_ACTIVITIES,PROGRAMMED_CHARGES,decimal,"decimal(15, 2)",Y,"","","","","",,Programmed Charges
DATA_CLOSING_ALL,ACT_ACTIVITIES,PROGRAMMED_FINANCED,decimal,"decimal(15, 5)",Y,"","","","","",,Programmed Financed
DATA_CLOSING_ALL,ACT_ACTIVITIES,secId,int,int,Y,"","","","","",,Section ID
DATA_CLOSING_ALL,ACT_ACTIVITIES,secName,varchar,varchar(3),Y,"","","","","",,Section Name
DATA_CLOSING_ALL,ACT_ACTIVITIES,sourceOfFunding,varchar,varchar(800),N,"","","","","",,Source Of Funding
DATA_CLOSING_ALL,ACT_ACTIVITIES,unit,varchar,varchar(10),Y,"","","","","",,Unit Name
DATA_CLOSING_ALL,ACT_ACTIVITIES,unit_programmed_amount,numeric,"numeric(38, 5)",N,"","","","","",,Unit Programmed Amount
DATA_CLOSING_ALL,ACT_ACTIVITIES,unitAmount,decimal,"decimal(15, 2)",N,"","","","","",,Unit Amount
DATA_CLOSING_ALL,ACT_ACTIVITIES,unitId,int,int,Y,"","","","","",,Unit ID
DATA_CLOSING_ALL,ACT_ACTIVITIES,yea_year,int,int,Y,"","","","","",,Year
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,consultant_id,varchar,varchar(50),Y,"","","","","",,Consultant id
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_amount,decimal,"decimal(17, 2)",Y,"","","","","",,Execution amount
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_classification,varchar,varchar(800),Y,"","","","","",,Execution classification
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_creator,varchar,varchar(402),Y,"","","","","",,Execution creator
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_description,varchar,varchar(800),Y,"","","","","",,Execution description
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_entry_date,datetime,datetime,Y,"","","","","",,Execution entry date
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_epay_flag,bit,bit,Y,"","","","","",,Execution epay flag
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_id,int,int,Y,"","","","","",,Execution id
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_invoce_date,datetime,datetime,Y,"","","","","",,Execution invoce date
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_last_updated_date,datetime,datetime,Y,"","","","","",,Execution last updated date
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_last_updator,varchar,varchar(402),Y,"","","","","",,Execution last updator
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_plan_activity,int,int,Y,"","","","","",,Execution plan activity
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_plan_activity_approved_amount,decimal,"decimal(38, 2)",Y,"","","","","",,Execution plan activity approved amount
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_plan_activity_department,varchar,varchar(3),Y,"","","","","",,Execution plan activity department
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_plan_activity_status,varchar,varchar(16),Y,"","","","","",,Execution plan activity status
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_plan_activity_type,varchar,varchar(800),Y,"","","","","",,Execution plan activity type
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,execution_plan_activity_unit,varchar,varchar(10),Y,"","","","","",,Execution plan activity unit
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,lawson_date,datetime,datetime,Y,"","","","","",,Lawson date
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_account_code,varchar,varchar(50),N,"","","","","",,Obligation account code
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_account_name,varchar,varchar(200),N,"","","","","",,Obligation account name
