"schema_name","table_name","columns"
DATA_CLOSING_ALL,Data_Registrations,98
dbo,Data_Registrations_2016_tb,97
dbo,Data_Registrations_tb,97
DATA_CLOSING_ALL,Data_Outputs,55
dbo,Data_Outputs_tb,50
DATA_CLOSING_ALL,ACT_ACTIVITIES,38
DATA_CLOSING_ALL,Data_Activities,37
dbo,Data_Activities_tb,37
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,34
dbo,SUCCESS_FACTORS_USER_DATA_TB,33
dbo,users_success_factors_tb,33
dbo,Tor_Terms_of_Reference_tb,32
dbo,Out_Outcome_tb,32
DATA_CLOSING_ALL,Data_Obligations,31
dbo,Data_Obligations_tb,31
DATA_CLOSING_ALL,DATA_PERSONS,31
dbo,Data_Persons_tb,31
dbo,mTt_monthyl_Temporary_table,30
dbo,Kna_Knl_Plan_Activity_tb,29
dbo,Bud_Bud_E_tb,28
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,28
dbo,Trt_Travel_Authorization_Temporary_tb,25
dbo,Trv_Travel_Authorization_tb,25
dbo,Importation_User_tb,24
dbo,Lie_Language_Individual_Evaluation_tb,22
dbo,Lof_Location_features_tb,22
dbo,Usr_User_tb,22
dbo,Usr_User_tb_jp,22
dbo,Omd_Output_Metadata_tb_old,22
dbo,Temp_Bud,21
dbo,Les_Logistic_Estimation_tb,21
dbo,Bso_Bud_E_Sync_Optima_tb,21
dbo,Omdt_OutputMetadata_Translation_tb,20
dbo,Rec_Registration_Costs_tb,20
dbo,Olu_outputlogupdate_tb,19
dbo,Uac_Unplanned_Activity_tb,19
dbo,Ust_User_Temporary_tb,19
dbo,Bio_Budget_Item_Obligated,19
dbo,Evt_Event_tb,18
dbo,Upd_Unplanned_Deliverable_tb,18
dbo,Tea_Teacher_tb,18
dbo,Rft_Registration_Facilitator_tb,18
dbo,Reg_Registration_tb,17
dbo,Pco_Program_Course_tb,17
dbo,Oco_Outcome_Cost_tb,17
DATA_CLOSING_ALL,ODT_OUTPUT_DETAIL,17
dbo,Llm_Lessons_Learned_Metadata_tb,16
dbo,Dbl_Dublin_Metadata_tb,16
dbo,Bie_Budget_Item_Executed,16
dbo,bus_Biztalk_Users_tb,16
dbo,bus_Biztalk_Users_tb_jp,16
dbo,Rsv_Reservation_tb,16
dbo,Prm_Program_Module_tb,15
dbo,Prr_Program_Role_tb,15
dbo,Ptp_Program_Training_Plan_tb,15
dbo,Tck_Ticket_tb,15
dbo,Bus_Bud_E_Sync_tb,15
dbo,Bgi_Budget_Item_tb,15
dbo,Lec_Logistic_Estimation_Country_tb,15
dbo,Kpd_Knl_Plan_Deliverable_tb,14
dbo,Kai_Knl_Plan_Allocation_Item_tb,14
dbo,Pro_Program_tb,14
dbo,Sof_Source_Of_Funding_tb,14
dbo,Pcl_Program_Course_Language_tb,13
dbo,Olsf_outputsfupdate_tb,13
dbo,Ldp_Language_Development_Plan_tb,13
dbo,Lgv_Language_Group_Evaluation_tb,13
dbo,Aar_Applicant_Assessment_Report_tb,13
dbo,Ctr_Country_tb,13
DATA_CLOSING_ALL,Data_Plans,13
dbo,Data_Plans_tb,13
dbo,item_completion_success_factors_tb,12
dbo,Ogc_Outcome_Budget_Group_Category_tb,12
dbo,Per_Person_tb,12
dbo,Per_Person_tb_jp,12
dbo,RosterVPS,12
dbo,SUCCESS_FACTORS_COMPLETION_TB,12
dbo,SUCCESS_FACTORS_HISTORY_TB,12
dbo,Trc_Tor_Category_tb,11
dbo,Rev_Program_Reviews_tb,11
dbo,sample_omd,11
dbo,Pft_Proficiency_Test_tb,11
dbo,Omd_Output_Metadata_tb,11
dbo,Obg_Outcome_Budget_tb,11
dbo,Oba_Output_badges_tb,10
dbo,Llb_Lessons_Learned_Body_tb,10
dbo,Lls_Lessons_Learned_tb,10
dbo,KAL_KNLSYSTEM_ACCESS_LOG,10
dbo,Srv_Service_tb,10
dbo,Tsc_Tor_Subcategory_tb,10
dbo,Tde_Tor_Deliverable_tb,10
dbo,Unt_Unit_tb,9
dbo,Unt_Unit_tb_jp,9
dbo,Ptu_Program_Training_Plan_User_tb,9
dbo,Knd_Knl_Plan_Division_tb,9
dbo,Knp_Knl_Plan_Department_tb,9
dbo,Dep_Department_tb,9
dbo,Dep_Department_tb_jp,9
dbo,bun_Biztalk_Units_tb_jp,9
dbo,Cti_City_tb,8
dbo,Bud_bude_temp_tb,8
dbo,App_Activity_Person_Participant_tb,8
dbo,Ler_Logistic_Estimation_Review_Request_tb,8
dbo,Ivt_Invoice_Teacher_tb,8
dbo,Ipr_Indes_Program_tb,8
dbo,Ipk_Indes_Program_Knowledge_Areas_tb,8
dbo,Lcm_Lesson_Learned_Comment_tb,8
dbo,Spf_Survey_Participants_Faults_tb,8
dbo,Oml_Output_Module_tb,8
dbo,Uap_Unit_Assigned_Person_tb,8
dbo,TEMP_GUEST_FROM_MOODLE_WITH_USER_ID,8
dbo,Tha_Registration_Hash_Approval_tb,7
dbo,Ops_Opus_tb,7
dbo,Ins_Institution_tb,7
dbo,Ipc_Indes_Program_Competencies_tb,7
dbo,Kpa_Knl_Plan_Allocation_tb,7
dbo,Importation_Unit_tb,7
dbo,knlPortalServices_parameters_tb,7
dbo,Bou_Budget_Org_Unit_tb,7
dbo,Fcl_Facilitator_tb,7
dbo,bun_Biztalk_Units_tb,6
dbo,Agi_Agenda_Item_tb,6
dbo,Boa_Budget_Org_Unit_Account_tb,6
dbo,Opt_Opus_Importation_tb,6
dbo,Oko_Outcome_KNLOfficer_tb,6
dbo,Slc_Self_Learning_Course_tb,6
dbo,sts_knlsystem_statistics_2013,6
dbo,Rej_Records_Jobs,6
dbo,Tig_Ticket_Group_tb,6
dbo,Tth_Ticket_Thread_tb,6
dbo,Txg_Taxonomy_Genealogy_tb,6
