"schema_name","view_name","column_name","data_type","data_type_ext","nullable","comments"
dbo,ACO_APPROVED_CONTRIBUTIONS_VW,activity_count,int,int,Y,
dbo,ACO_APPROVED_CONTRIBUTIONS_VW,approved_amount,decimal,"decimal(38, 2)",Y,
dbo,ACO_APPROVED_CONTRIBUTIONS_VW,disbursed_amount,decimal,"decimal(38, 2)",Y,
dbo,ACO_APPROVED_CONTRIBUTIONS_VW,opus_code,varchar,varchar(10),N,
dbo,ACO_APPROVED_CONTRIBUTIONS_VW,programmed_amount,decimal,"decimal(38, 2)",Y,
dbo,ACT_ACTIVITIES_VW,activity_status,varchar,varchar(16),Y,
dbo,ACT_ACTIVITIES_VW,activityAmount,decimal,"decimal(17, 2)",Y,
dbo,ACT_ACTIVITIES_VW,activityBK,varchar,varchar(20),N,
dbo,ACT_ACTIVITIES_VW,activityID,int,int,N,
dbo,ACT_ACTIVITIES_VW,activityName,varchar,varchar(2000),N,
dbo,ACT_ACTIVITIES_VW,activityOutputs,varchar,varchar(8000),Y,
dbo,ACT_ACTIVITIES_VW,activityParticipants,int,int,Y,
dbo,ACT_ACTIVITIES_VW,budgetItemsExecutedAmount,decimal,"decimal(15, 2)",Y,
dbo,ACT_ACTIVITIES_VW,budgetItemsObligatedAmount,decimal,"decimal(15, 2)",Y,
dbo,ACT_ACTIVITIES_VW,componentType,varchar,varchar(800),Y,
dbo,ACT_ACTIVITIES_VW,deliverableName,varchar,varchar(8000),N,
dbo,ACT_ACTIVITIES_VW,departmentAllocatedFund,decimal,"decimal(38, 2)",N,
dbo,ACT_ACTIVITIES_VW,depId,int,int,Y,
dbo,ACT_ACTIVITIES_VW,depName,varchar,varchar(3),Y,
dbo,ACT_ACTIVITIES_VW,disbursedAmount,decimal,"decimal(15, 2)",Y,
dbo,ACT_ACTIVITIES_VW,knd_id,int,int,N,
dbo,ACT_ACTIVITIES_VW,kndType,varchar,varchar(10),Y,
dbo,ACT_ACTIVITIES_VW,knlAmount,decimal,"decimal(15, 2)",N,
dbo,ACT_ACTIVITIES_VW,knlApprovedAmount,decimal,"decimal(15, 2)",N,
dbo,ACT_ACTIVITIES_VW,knlOfficer,varchar,varchar(500),Y,
dbo,ACT_ACTIVITIES_VW,knlStatus,varchar,varchar(20),N,
dbo,ACT_ACTIVITIES_VW,knp_id,int,int,N,
dbo,ACT_ACTIVITIES_VW,kpd_id,int,int,N,
dbo,ACT_ACTIVITIES_VW,latestTotalCostAmount,decimal,"decimal(15, 2)",Y,
dbo,ACT_ACTIVITIES_VW,otherAmount,decimal,"decimal(15, 2)",N,
dbo,ACT_ACTIVITIES_VW,otherEntity,varchar,varchar(800),Y,
dbo,ACT_ACTIVITIES_VW,outputCount,int,int,Y,
dbo,ACT_ACTIVITIES_VW,PROGRAMMED_ASSOCIATED,decimal,"decimal(15, 5)",Y,
dbo,ACT_ACTIVITIES_VW,PROGRAMMED_CHARGES,decimal,"decimal(15, 2)",Y,
dbo,ACT_ACTIVITIES_VW,PROGRAMMED_FINANCED,decimal,"decimal(15, 5)",Y,
dbo,ACT_ACTIVITIES_VW,secId,int,int,Y,
dbo,ACT_ACTIVITIES_VW,secName,varchar,varchar(3),Y,
dbo,ACT_ACTIVITIES_VW,sourceOfFunding,varchar,varchar(800),N,
dbo,ACT_ACTIVITIES_VW,unit,varchar,varchar(10),Y,
dbo,ACT_ACTIVITIES_VW,unit_programmed_amount,numeric,"numeric(38, 5)",N,
dbo,ACT_ACTIVITIES_VW,unitAmount,decimal,"decimal(15, 2)",N,
dbo,ACT_ACTIVITIES_VW,unitId,int,int,Y,
dbo,ACT_ACTIVITIES_VW,yea_year,int,int,Y,
dbo,ACT_ACTIVITIES_VW_2013,activity_status,varchar,varchar(16),Y,
dbo,ACT_ACTIVITIES_VW_2013,activityAmount,decimal,"decimal(17, 2)",Y,
dbo,ACT_ACTIVITIES_VW_2013,activityBK,varchar,varchar(10),N,
dbo,ACT_ACTIVITIES_VW_2013,activityID,int,int,N,
dbo,ACT_ACTIVITIES_VW_2013,activityName,varchar,varchar(2000),N,
dbo,ACT_ACTIVITIES_VW_2013,componentType,varchar,varchar(800),Y,
dbo,ACT_ACTIVITIES_VW_2013,deliverableName,varchar,varchar(8000),N,
dbo,ACT_ACTIVITIES_VW_2013,depName,varchar,varchar(3),Y,
dbo,ACT_ACTIVITIES_VW_2013,disbursedAmount,decimal,"decimal(15, 2)",Y,
dbo,ACT_ACTIVITIES_VW_2013,knlAmount,decimal,"decimal(15, 2)",N,
dbo,ACT_ACTIVITIES_VW_2013,knlApprovedAmount,decimal,"decimal(15, 2)",N,
dbo,ACT_ACTIVITIES_VW_2013,knlOfficer,varchar,varchar(500),Y,
dbo,ACT_ACTIVITIES_VW_2013,knlStatus,varchar,varchar(20),N,
dbo,ACT_ACTIVITIES_VW_2013,latestTotalCostAmount,decimal,"decimal(15, 2)",Y,
dbo,ACT_ACTIVITIES_VW_2013,otherAmount,decimal,"decimal(15, 2)",N,
dbo,ACT_ACTIVITIES_VW_2013,otherEntity,varchar,varchar(800),Y,
dbo,ACT_ACTIVITIES_VW_2013,outputCount,int,int,Y,
dbo,ACT_ACTIVITIES_VW_2013,PROGRAMMED_ASSOCIATED,decimal,"decimal(15, 5)",Y,
dbo,ACT_ACTIVITIES_VW_2013,PROGRAMMED_CHARGES,decimal,"decimal(15, 2)",Y,
dbo,ACT_ACTIVITIES_VW_2013,PROGRAMMED_FINANCED,decimal,"decimal(15, 5)",Y,
dbo,ACT_ACTIVITIES_VW_2013,secName,varchar,varchar(3),Y,
dbo,ACT_ACTIVITIES_VW_2013,sourceOfFunding,varchar,varchar(800),N,
dbo,ACT_ACTIVITIES_VW_2013,unit,varchar,varchar(10),Y,
dbo,ACT_ACTIVITIES_VW_2013,unitAmount,decimal,"decimal(15, 2)",N,
dbo,ACT_ACTIVITIES_VW_2013,yea_year,int,int,Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,consultant_id,varchar,varchar(50),Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_amount,decimal,"decimal(17, 2)",Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_classification,varchar,varchar(800),Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_creator,varchar,varchar(402),Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_description,varchar,varchar(800),Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_entry_date,datetime,datetime,Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_epay_flag,bit,bit,Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_id,int,int,Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_invoce_date,datetime,datetime,Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_last_updated_date,datetime,datetime,Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_last_updator,varchar,varchar(402),Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_plan_activity,int,int,Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_plan_activity_approved_amount,decimal,"decimal(38, 2)",Y,
